timestamp,pair,short_pct,short_lots,short_pos,long_pct,long_lots,long_pos
2025-03-26 14:44:40.556157+00:00,CADJPY,38.0,89.3,971,62.0,142.81,1076
2025-03-26 18:52:08.196424+00:00,CADJPY,37.0,81.93,883,63.0,142.52,1128
2025-03-26 20:36:17.370415+00:00,CADJPY,37.0,82.13,882,63.0,141.28,1116
2025-03-27 03:08:02.652960+00:00,CADJPY,35.0,77.11,859,65.0,141.86,1099
2025-03-27 04:44:09.014632+00:00,CADJPY,35.0,76.56,850,65.0,142.28,1103
2025-03-27 08:45:26.967950+00:00,CADJPY,36.0,80.57,852,64.0,142.31,1112
2025-03-27 13:19:13.699007+00:00,CADJPY,41.0,97.55,908,59.0,141.15,1084
2025-03-27 16:49:56.053547+00:00,CADJPY,34.0,80.21,867,66.0,154.28,1132
2025-03-27 20:34:17.783306+00:00,CADJPY,33.0,78.92,874,67.0,163.65,1095
2025-03-28 03:09:53.128375+00:00,CADJPY,32.0,77.4,865,68.0,163.72,1130
2025-03-28 04:42:16.725999+00:00,CADJPY,33.0,77.45,867,67.0,158.94,1136
2025-03-28 08:45:06.542562+00:00,CADJPY,34.0,78.48,867,66.0,153.63,1237
2025-03-28 13:17:56.970238+00:00,CADJPY,32.0,72.68,909,68.0,153.27,1205
2025-03-28 16:46:41.149724+00:00,CADJPY,31.0,66.49,852,69.0,147.22,1199
2025-03-28 20:35:11.659418+00:00,CADJPY,30.0,62.72,805,70.0,145.77,1270
2025-03-29 03:06:16.814841+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-29 04:44:51.364856+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-29 08:39:45.959975+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-29 13:05:04.770847+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-29 16:43:55.379698+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-29 20:31:56.661268+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 03:16:01.642512+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 04:43:05.020750+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 08:38:47.682654+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 13:04:49.681743+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 16:43:21.359292+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-30 20:33:41.642064+00:00,CADJPY,30.0,62.09,800,70.0,147.92,1292
2025-03-31 03:15:30.867003+00:00,CADJPY,23.0,50.28,721,77.0,166.88,1473
2025-03-31 04:42:49.357817+00:00,CADJPY,22.0,52.17,711,78.0,184.24,1519
2025-03-31 08:49:10.887016+00:00,CADJPY,19.0,46.98,711,81.0,194.79,1558
2025-03-31 13:36:05.821360+00:00,CADJPY,21.0,51.27,716,79.0,195.0,1561
2025-03-31 16:50:30.337125+00:00,CADJPY,24.0,58.02,726,76.0,182.12,1505
2025-03-31 20:38:21.982565+00:00,CADJPY,25.0,60.43,754,75.0,177.99,1457
2025-04-01 03:32:49.215553+00:00,CADJPY,25.0,59.06,724,75.0,178.71,1516
