timestamp,pair,short_pct,short_lots,short_pos,long_pct,long_lots,long_pos
2025-03-26 14:47:54.622503+00:00,USDJPY,47.0,903.29,3910,53.0,1003.76,6811
2025-03-26 18:55:21.735892+00:00,USDJPY,46.0,833.91,3608,54.0,970.23,6806
2025-03-26 20:39:33.315009+00:00,USDJPY,48.0,850.7,3755,52.0,929.51,6629
2025-03-27 03:11:16.984519+00:00,USDJPY,45.0,866.68,3913,55.0,1050.95,6961
2025-03-27 04:47:23.113639+00:00,USDJPY,45.0,852.98,3823,55.0,1049.75,6919
2025-03-27 08:48:42.123025+00:00,USDJPY,53.0,983.28,4366,47.0,878.34,6150
2025-03-27 13:22:27.765807+00:00,USDJPY,59.0,1417.45,4640,41.0,976.97,6848
2025-03-27 16:53:10.290701+00:00,USDJPY,50.0,980.17,4195,50.0,981.31,6754
2025-03-27 20:37:34.810250+00:00,USDJPY,48.0,974.29,4032,52.0,1048.21,7332
2025-03-28 03:13:07.394770+00:00,USDJPY,47.0,986.9,4191,53.0,1105.06,7688
2025-03-28 04:45:31.009114+00:00,USDJPY,48.0,976.85,4337,52.0,1044.75,7453
2025-03-28 08:48:20.747585+00:00,USDJPY,38.0,854.65,3577,62.0,1404.4,8434
2025-03-28 13:21:10.844333+00:00,USDJPY,55.0,1180.2,4516,45.0,951.92,6979
2025-03-28 16:49:54.350156+00:00,USDJPY,48.0,920.51,3725,52.0,1005.58,7337
2025-03-28 20:38:24.763313+00:00,USDJPY,46.0,887.48,3545,54.0,1049.15,7698
2025-03-29 03:09:31.164666+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-29 04:48:03.921315+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-29 08:43:01.451323+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-29 13:08:18.646871+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-29 16:47:12.792503+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-29 20:35:14.490183+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 03:19:15.266958+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 04:46:18.824416+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 08:42:02.806972+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 13:08:03.134555+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 16:46:36.340945+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-30 20:36:56.382616+00:00,USDJPY,44.0,903.67,3626,56.0,1130.22,7872
2025-03-31 03:18:45.143553+00:00,USDJPY,40.0,914.74,3510,60.0,1374.93,7972
2025-03-31 04:46:03.459558+00:00,USDJPY,34.0,876.99,3469,66.0,1697.98,8194
2025-03-31 08:52:25.285740+00:00,USDJPY,42.0,871.86,3662,58.0,1215.24,7487
2025-03-31 13:39:20.587490+00:00,USDJPY,53.0,1094.43,4515,47.0,981.35,6738
2025-03-31 16:53:44.910192+00:00,USDJPY,52.0,1006.44,4262,48.0,923.0,6463
2025-03-31 20:41:35.866334+00:00,USDJPY,49.0,1043.99,4139,51.0,1081.05,7223
2025-04-01 03:36:05.814189+00:00,USDJPY,47.0,817.83,3703,53.0,937.29,6599
2025-04-01 04:48:40.606910+00:00,USDJPY,45.0,787.5,3561,55.0,977.73,6788
2025-04-01 08:53:34.219007+00:00,USDJPY,45.0,808.2,3668,55.0,1000.17,6880
2025-04-01 13:40:56.325179+00:00,USDJPY,41.0,898.97,3857,59.0,1306.49,7194
2025-04-01 16:53:14.703347+00:00,USDJPY,49.0,875.36,3760,51.0,905.01,6306
2025-04-01 20:41:43.776709+00:00,USDJPY,52.0,902.44,4155,48.0,846.59,6023
2025-04-02 03:13:49.856066+00:00,USDJPY,56.0,1177.19,4369,44.0,909.83,6471
2025-04-02 04:47:11.192030+00:00,USDJPY,51.0,973.97,4038,49.0,926.99,6567
2025-04-02 08:52:50.018347+00:00,USDJPY,40.0,768.59,3412,60.0,1132.66,7297
2025-04-02 13:39:11.680328+00:00,USDJPY,35.0,753.81,3409,65.0,1429.95,7619
2025-04-02 16:55:30.269309+00:00,USDJPY,57.0,1327.01,5047,43.0,1010.54,6490
2025-04-02 20:40:18.200018+00:00,USDJPY,43.0,896.97,4058,57.0,1171.37,7019
2025-04-03 03:12:41.724231+00:00,USDJPY,36.0,704.52,3202,64.0,1265.75,7440
2025-04-03 04:47:44.620049+00:00,USDJPY,30.0,658.0,3144,70.0,1529.92,8108
2025-04-03 08:50:46.530812+00:00,USDJPY,31.0,628.07,3022,69.0,1369.03,7931
2025-04-03 13:38:29.860713+00:00,USDJPY,25.0,631.52,2891,75.0,1879.34,8712
2025-04-03 16:52:13.639404+00:00,USDJPY,28.0,676.41,3192,72.0,1758.51,8583
